Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
200902705	2	200901	123	200718912	123	03/02/09	37	04/23/09	106.5	06/17/09	200.6	07/06/09	232	07/06/09	4	SLRE
200902709	1	200901	123	200718912	123	03/02/09	35.9	04/23/09	113.4	06/17/09	216.8	07/06/09	246.8	07/06/09	4	SLRE
200902803	2	200901	123	200720007	123	03/02/09	38.9	04/17/09	93.8	06/11/09	180.1	07/17/09	215.4	07/20/09	6	SLRE
200902806	1	200901	123	200720007	123	03/02/09	39.3	04/17/09	115.4	06/11/09	225.8	07/06/09	261	07/06/09	4	SLRE
200902903	2	200901	123	200719809	123	03/02/09	39.7	04/17/09	102.3	06/11/09	195.2	07/06/09	235	07/06/09	4	SLRE
200902904	2	200901	123	200719809	123	03/02/09	33.2	04/23/09	99	06/17/09	190.9	07/10/09	224.2	07/13/09	6	SLRE
200902906	1	200901	123	200719809	123	03/02/09	45.1	04/17/09	96.6	06/11/09	208.4	07/06/09	256.2	07/06/09	4	SLRE
200903002	2	200901	123	200718912	123	03/02/09	35.6	04/23/09	105.5	06/17/09	196.9	07/10/09	213.6	07/13/09	6	SLRE
200903003	2	200901	123	200718912	123	03/02/09	37.1	04/23/09	126	06/17/09	212.9	07/06/09	238.4	07/06/09	4	SLRE
200903007	1	200901	123	200718912	123	03/02/09	37.4	04/23/09	105.6	06/17/09	182.4	07/17/09	231.4	07/20/09	6	SLRE
200903012	1	200901	123	200718912	123	03/02/09	30.1	04/23/09	107.2	06/17/09	206.7	07/06/09	239.2	07/06/09	4	SLRE
200903101	2	200901	123	200718912	123	03/02/09	39.2	04/17/09	92.3	06/11/09	189.3	07/10/09	233	07/13/09	6	SLRE
200903103	1	200901	123	200718912	123	03/02/09	42.7	04/17/09	109.6	06/11/09	204.5	07/06/09	241.8	07/06/09	4	SLRE
200903202	2	200901	123	200719504	123	03/02/09	36.5	04/23/09	103.9	06/17/09	197.4	07/07/09	231.4	07/08/09	6	SLRE
200903203	2	200901	123	200719504	123	03/02/09	39.7	04/17/09	102.7	06/11/09	201.6	07/06/09	240.4	07/06/09	4	SLRE
200903210	1	200901	123	200719504	123	03/02/09	39.4	04/17/09	106.3	06/11/09	219	07/06/09	254	07/06/09	4	SLRE
200903211	1	200901	123	200719504	123	03/02/09	35.5	04/23/09	104.4	06/17/09	199.4	07/10/09	208.8	07/13/09	6	SLRE
200903301	2	200901	123	200718912	123	03/02/09	38	04/23/09	110.7	06/17/09	209.3	07/06/09	232.6	07/06/09	4	SLRE
200903306	1	200901	123	200718912	123	03/02/09	43.4	04/17/09	116	06/11/09	223.6	07/06/09	267.6	07/06/09	4	SLRE
200903402	2	200901	123	200719208	123	03/02/09	44.4	04/17/09	111.7	06/11/09	207.1	07/06/09	253.2	07/06/09	4	SLRE
200903403	2	200901	123	200719208	123	03/09/09	50.8	04/17/09	113.1	06/11/09	215.5	07/06/09	260	07/06/09	4	SLRE
200903405	1	200901	123	200719208	123	03/09/09	51.7	04/17/09	133.3	06/11/09	216.6	07/06/09	244.5	07/06/09	4	SLRE
200903501	2	200901	123	200720308	123	03/09/09	62.4	03/09/09	62.4			03/09/09	62.4	04/06/09	3	INJ
200903502	2	200901	123	200720308	123	03/09/09	51.2	04/17/09	98.2	06/11/09	199.9	07/06/09	243.6	07/06/09	4	SLRE
200903508	1	200901	123	200720308	123	03/09/09	37.3	04/23/09	93.8	06/17/09	192.4	07/10/09	211.4	07/13/09	6	SLRE
200903702	2	200901	123	200720606	123	03/02/09	42.1	04/17/09	95.2	06/11/09	180.3	07/07/09	226.2	07/08/09	6	SLRE
200903707	1	200901	123	200720606	123	03/02/09	42.7	04/17/09	107.8	06/11/09	207.5	07/06/09	258.2	07/06/09	4	SLRE
200904001	2	200901	123	200721506	123	03/02/09	48.4	04/17/09	120.7	06/11/09	196.5	07/07/09	242.8	07/08/09	6	SLRE
200904002	2	200901	123	200721506	123	03/02/09	38.2	04/23/09	109.8	06/17/09	197.3	07/17/09	239.2	07/20/09	6	SLRE
200904003	2	200901	123	200721506	123	03/02/09	37.8	04/23/09	93.4	06/17/09	175.1	07/17/09	210.4	07/20/09	6	SLRE
200904005	1	200901	123	200721506	123	03/02/09	42.7	04/17/09	111.6	06/23/09	252.2	06/23/09	252.2	06/24/09	6	SLRE
200904006	1	200901	123	200721506	123	03/04/09	39.3	04/23/09	110.9	06/17/09	204.4	07/07/09	237.4	07/08/09	6	SLRE
200904007	1	200901	123	200721506	123	03/02/09	43.2	04/17/09	120.4	06/23/09	292.8	06/23/09	292.8	06/24/09	6	SLRE
200904101	2	200901	123	200721506	123	03/02/09	40.4	04/17/09	108	06/11/09	210.9	07/07/09	242.4	07/08/09	6	SLRE
200904102	2	200901	123	200721506	123	03/02/09	37.5	04/23/09	109.4	06/17/09	197.5	07/10/09	213.4	07/13/09	6	SLRE
200904103	2	200901	123	200721506	123	03/02/09	34.8	04/23/09	107.3	06/17/09	209.3	07/06/09	233	07/06/09	4	SLRE
200904105	1	200901	123	200721506	123	03/02/09	39.5	04/17/09	103.9	06/11/09	196.6	07/07/09	234.4	07/08/09	6	SLRE
200904106	1	200901	123	200721506	123	03/02/09	41.1	04/17/09	105.4	06/11/09	195.9	07/07/09	227.8	07/08/09	6	SLRE
200904107	1	200901	123	200721506	123	03/02/09	43.3	04/17/09	114.8	06/11/09	202.2	07/06/09	239	07/06/09	4	SLRE
200904202	2	200901	123	200718912	123	03/09/09	48.7	04/17/09	97.2	06/11/09	183.2	07/06/09	233.8	07/06/09	4	SLRE
200904203	2	200901	123	200718912	123	03/09/09	57.3	04/17/09	119.1	06/23/09	268.8	06/23/09	268.8	06/24/09	6	SLRE
200904209	1	200901	123	200718912	123	03/09/09	52.3	04/17/09	112.5	06/11/09	223.7	07/06/09	270	07/06/09	4	SLRE
200904301	2	200901	123	200720606	123	03/09/09	60	04/17/09	107.8	06/11/09	206.4	07/06/09	245.2	07/06/09	4	SLRE
200904303	1	200901	123	200720606	123	03/09/09	52.1	04/17/09	117.6	06/11/09	215.6	07/06/09	251.4	07/06/09	4	SLRE
200904401	2	200901	123	200720007	123	03/09/09	49.5	04/17/09	107.4	06/11/09	202.2	07/06/09	241.8	07/06/09	4	SLRE
200904402	1	200901	123	200720007	123	03/09/09	49.5	04/17/09	109.2	06/11/09	211.8	07/06/09	248.2	07/06/09	4	SLRE
200904502	2	200901	123	200720007	123	03/09/09	52.2	04/17/09	105.2	06/11/09	201.5	07/06/09	241.6	07/06/09	4	SLRE
200904509	1	200901	123	200720007	123	03/09/09	57	04/17/09	104.8	06/11/09	204.8	07/06/09	249.8	07/06/09	4	SLRE
200904702	2	200901	123	200727611	123	03/09/09	50.1	04/17/09	105.7	06/11/09	193.6	07/07/09	234.8	07/08/09	6	SLRE
200904709	1	200901	123	200727611	123	03/09/09	54.4	04/17/09	96.3	06/11/09	192.4	07/06/09	236	07/06/09	4	SLRE
200904902	2	200901	123	200719208	123	03/09/09	51.8	04/17/09	104.6	06/11/09	204.8	07/07/09	235.6	07/08/09	6	SLRE
